  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S4                177.39780    22.39518  57444.606   F160W   inf    -0.3660   0.4463     25.6292  -9.0000     AB   25.9462   0.0005 0.0155  refsdal_f160w_e49-e00_sub_masked.fits
S4                177.39780    22.39518  57459.094   F160W   inf    -0.0567   0.2167     26.4139  -9.0000     AB   25.9462  -0.0009 0.0147  refsdal_f160w_e50-e00_sub_masked.fits
S4                177.39780    22.39518  57472.543   F160W   inf    -0.0867   0.1664     26.7005  -9.0000     AB   25.9462  -0.0044 0.0141  refsdal_f160w_e51-e00_sub_masked.fits
S4                177.39780    22.39518  57493.299   F160W   inf    -0.2316   0.3560     25.8747  -9.0000     AB   25.9462  -0.0020 0.0170  refsdal_f160w_e52-e00_sub_masked.fits
S4                177.39780    22.39518  57507.575   F160W   inf    -0.0434   0.3607     25.8604  -9.0000     AB   25.9462  -0.0016 0.0171  refsdal_f160w_e53-e00_sub_masked.fits
S4                177.39780    22.39518  57521.297   F160W   inf    -0.0136   0.3737     25.8221  -9.0000     AB   25.9462  -0.0036 0.0162  refsdal_f160w_e54-e00_sub_masked.fits
S4                177.39780    22.39518  57524.545   F160W   inf    -0.0229   0.2758     26.1518  -9.0000     AB   25.9462  -0.0033 0.0126  refsdal_f160w_e56-e00_sub_masked.fits
S4                177.39780    22.39518  57527.198   F160W   inf     0.0570   0.2571     29.0570   4.8989     AB   25.9462  -0.0024 0.0169  refsdal_f160w_e57-e00_sub_masked.fits
S4                177.39780    22.39518  57541.130   F160W   inf     0.0486   0.3071     29.2300   6.8631     AB   25.9462  -0.0043 0.0190  refsdal_f160w_e63-e00_sub_masked.fits
S4                177.39780    22.39518  57545.104   F160W   inf     0.4757   0.2679     26.7530   0.6114     AB   25.9462   0.0052 0.0287  refsdal_f160w_e64-e00_sub_masked.fits
S4                177.39780    22.39518  57547.091   F160W   inf     0.7224   0.2580     26.2993   0.3877     AB   25.9462   0.0053 0.0290  refsdal_f160w_e65-e00_sub_masked.fits
S4                177.39780    22.39518  57549.045   F160W   inf     0.8103   0.2747     26.1746   0.3680     AB   25.9462   0.0035 0.0270  refsdal_f160w_e66-e00_sub_masked.fits
S4                177.39780    22.39518  57550.102   F160W   inf     0.5650   0.3023     26.5661   0.5808     AB   25.9462   0.0028 0.0290  refsdal_f160w_e67-e00_sub_masked.fits
